"license","Licensee Information","Business Name:","License Number:","In Business:","Location Address:","City/Town:","State:","Telephone Number:","Trade Name","Address","Town","County","License #","Permissions","Expiration Date","On or Off","latitude","longitude","accuracy","marker-size","marker-color","marker-symbol"
"1769",NA,"BIDDEFORD SMOKE SHOP","1769","Yes","299 MAIN STREET   SUITE 3","BIDDEFORD","ME","650-8932","BIDDEFORD SMOKE SHOP","299 MAIN STREET	SUITE 3","BIDDEFORD","YORK","1769","M-V","02/27/2015","OFF",43.4943026,-70.4587855,"subpremise","small","#4f4","alcohol-shop"
"177",NA,"THREE D'S VARIETY STORE","177","Yes","885 BRIGHTON AVENUE","PORTLAND","ME","207-619-7220","THREE D'S VARIETY STORE","885 BRIGHTON AVENUE","PORTLAND","CUMBERLAND","177","V-M","02/07/2015","OFF",43.6733197,-70.315071,"street_address","small","#4f4","alcohol-shop"
"1772",NA,"CUMBERLAND FARMS #5566","1772","Yes","982 MAIN STREET","SANFORD","ME","207-324-7180","CUMBERLAND FARMS #5566","982 MAIN STREET","SANFORD","YORK","1772","V-M","09/30/2015","OFF",43.4345817,-70.7719911,"street_address","small","#4f4","alcohol-shop"
"1773",NA,"CIRCLE K #7027","1773","Yes","32 MAIN STREET","SOUTH PARIS","ME","207-743-2111","CIRCLE K #7027","32 MAIN STREET","SOUTH PARIS","OXFORD","1773","M-V","07/15/2015","OFF",44.222715,-70.514279,"street_address","small","#4f4","alcohol-shop"
"1774",NA,"BUCKFIELD MALL","1774","Yes","8 EAST BUCKFIELD ROAD","BUCKFIELD","ME","207-336-2314","BUCKFIELD MALL","8 EAST BUCKFIELD ROAD","BUCKFIELD","OXFORD","1774","V-M","08/28/2015","OFF",44.2860382,-70.3511667,"premise","small","#4f4","alcohol-shop"
"1775",NA,"DOWN EAST WINE IMPORTS","1775","Yes","13 WESTERN AVENUE","KENNEBUNK","ME","207-967-9171","DOWN EAST WINE IMPORTS","13 WESTERN AVENUE","KENNEBUNK","YORK","1775","V","06/03/2015","OFF",43.3602893,-70.4804263,"street_address","small","#4f4","alcohol-shop"
"1777",NA,"PEARLS SEASIDE MARKET & CAFE","1777","Yes","11 WHARF RD.","CLIFF ISLAND","ME","207-766-2312","PEARLS SEASIDE MARKET & CAFE","11 WHARF RD.","CLIFF ISLAND","CUMBERLAND","1777","V-M","06/02/2015","OFF",43.6947391,-70.109548,"street_address","small","#4f4","alcohol-shop"
"1784",NA,"GENERAL NEIGHBORHOOD GROCERY STORE, THE","1784","Yes","1 CHURCH STREET","WEST PARIS","ME","515-1744","GENERAL NEIGHBORHOOD GROCERY STORE,
THE","1 CHURCH STREET","WEST PARIS","OXFORD","1784","M-V","01/28/2015","OFF",44.3257848,-70.5762375,"street_address","small","#4f4","alcohol-shop"
"1787",NA,"CUMBERLAND FARMS #5616","1787","Yes","564 ALFRED STREET","BIDDEFORD","ME","207-283-3410","CUMBERLAND FARMS #5616","564 ALFRED STREET","BIDDEFORD","YORK","1787","V-M","11/18/2015","OFF",43.4761994,-70.5081989,"street_address","small","#4f4","alcohol-shop"
"1788",NA,"TAMI LYN'S PLACE","1788","Yes","126 W. GRAND","OLD ORCHARD BEACH","ME","207-934-4292","TAMI LYN'S PLACE","126 W. GRAND","OLD ORCHARD BEACH","YORK","1788","V-M","08/21/2015","OFF",43.508152,-70.381402,"street_address","small","#4f4","alcohol-shop"
"1792",NA,"LOCAL HUB, THE","1792","Yes","224 MAIN STREET","GREENWOOD","ME","207-875-0011","LOCAL HUB, THE","224 MAIN STREET","GREENWOOD","OXFORD","1792","M-V","05/05/2015","OFF",44.3257021,-70.5728162,"street_address","small","#4f4","alcohol-shop"
"1803",NA,"CUMBERLAND FARMS #5576","1803","Yes","34 MAIN STREET","NORTH BERWICK","ME","207-676-8508","CUMBERLAND FARMS #5576","34 MAIN STREET","NORTH BERWICK","YORK","1803","M-V","09/30/2015","OFF",43.3047696,-70.7342669,"street_address","small","#4f4","alcohol-shop"
"1806",NA,"NEW OUTPOST, THE","1806","Yes","96 STATE ROUTE 121","OTISFIELD","ME","539-2323","NEW OUTPOST, THE","96 STATE ROUTE 121","OTISFIELD","OXFORD","1806","M-V","07/01/2015","OFF",44.1059185,-70.5087023,"street_address","small","#4f4","alcohol-shop"
"181",NA,"FRESH APPROACH II","181","Yes","155 BRACKETT STREET","PORTLAND","ME","207-774-7250","FRESH APPROACH II","155 BRACKETT STREET","PORTLAND","CUMBERLAND","181","M-V","02/12/2015","OFF",43.6508353,-70.2662521,"street_address","small","#4f4","alcohol-shop"
"1813",NA,"TNT QUICKSTOP LLC","1813","Yes","601 MAINE STREET","GORHAM","ME","207-854-2959","TNT QUICKSTOP LLC","601 MAINE STREET","GORHAM","CUMBERLAND","1813","M-V","11/30/2014","OFF",43.689018,-70.3972859,"street_address","small","#4f4","alcohol-shop"
"1815",NA,"SUNSET VARIETY","1815","Yes","1337 ROOSEVELT TRAIL","RAYMOND","ME","207-655-3131","SUNSET VARIETY","1337 ROOSEVELT TRAIL","RAYMOND","CUMBERLAND","1815","V-M","06/12/2015","OFF",43.894831,-70.465256,"street_address","small","#4f4","alcohol-shop"
"1816",NA,"BIG APPLE FOOD STORE #1023, THE","1816","Yes","358 RIVER ROAD","MEXICO","ME","207-743-9212","BIG APPLE FOOD STORE #1023, THE","358 RIVER ROAD","MEXICO","OXFORD","1816","M-V","04/04/2015","OFF",44.535819,-70.5088815,"street_address","small","#4f4","alcohol-shop"
"1817",NA,"MAINE-LY DRIZZLE, LLC","1817","Yes","2 OCEAN AVENUE","KENNEBUNKPORT","ME","207-967-2515","MAINE-LY DRIZZLE, LLC","2 OCEAN AVENUE","KENNEBUNKPORT","YORK","1817","V-M","02/11/2015","OFF",43.3616844,-70.4766412,"street_address","small","#4f4","alcohol-shop"
"1818",NA,"MAINE'S PANTRY","1818","Yes","111 COMMERCIAL STREET","PORTLAND","ME","207-228-2028","MAINE'S PANTRY","111 COMMERCIAL STREET","PORTLAND","CUMBERLAND","1818","V-M","06/26/2015","OFF",43.656843,-70.251379,"street_address","small","#4f4","alcohol-shop"
"182",NA,"HANNAFORD #8279","182","Yes","50 COTTAGE ROAD","SOUTH PORTLAND","ME","799-7359","HANNAFORD #8279","50 COTTAGE ROAD","SOUTH PORTLAND","CUMBERLAND","182","M-V","12/30/2015","OFF",43.6370949,-70.2505818,"street_address","small","#4f4","alcohol-shop"
"1821",NA,"CIRCLE K #7018","1821","Yes","327 MAIN STREET","SOUTH PORTLAND","ME","207-842-2900","CIRCLE K #7018","327 MAIN STREET","SOUTH PORTLAND","CUMBERLAND","1821","V-M","07/15/2015","OFF",43.6293965,-70.2930901,"street_address","small","#4f4","alcohol-shop"
"1823",NA,"DOUGHBOYS VARIETY, LLC","1823","Yes","44 E. MAIN STREET","SOUTH PARIS","ME","207-743-2615","DOUGHBOYS VARIETY, LLC","44 E. MAIN STREET","SOUTH PARIS","OXFORD","1823","M-V","10/08/2015","OFF",44.222588,-70.508688,"street_address","small","#4f4","alcohol-shop"
"1824",NA,"S S SUPER SUBS","1824","Yes","69 JEFFERSON STREET","BIDDEFORD","ME","207-284-5636","S S SUPER SUBS","69 JEFFERSON STREET","BIDDEFORD","YORK","1824","M-V","01/07/2015","OFF",43.4917391,-70.4554892,"street_address","small","#4f4","alcohol-shop"
"1826",NA,"BIG APPLE FOOD STORE #1107, THE","1826","Yes","16  PORTLAND STREET","BRIDGTON","ME","207-743-9212","BIG APPLE FOOD STORE #1107, THE","16  PORTLAND STREET","BRIDGTON","CUMBERLAND","1826","M-V","12/11/2015","OFF",44.0510968,-70.7012099,"street_address","small","#4f4","alcohol-shop"
"183",NA,"OLD PORT WINE MERCHANTS","183","Yes","223 COMMERCIAL STREET","PORTLAND","ME","772-9463","OLD PORT WINE MERCHANTS","223 COMMERCIAL STREET","PORTLAND","CUMBERLAND","183","V","05/25/2015","OFF",43.6551931,-70.2539004,"street_address","small","#4f4","alcohol-shop"
"1847",NA,"BIG APPLE FOOD STORE #1067","1847","Yes","6 WESTERN AVENUE","KENNEBUNKPORT","ME","743-9212","BIG APPLE FOOD STORE #1067","6 WESTERN AVENUE","KENNEBUNKPORT","YORK","1847","M-V","05/23/2015","OFF",43.3603668,-70.4795272,"street_address","small","#4f4","alcohol-shop"
"185",NA,"MOUNTAIN GROCER","185","Yes","15 SOUTH RIDGE RD.   * * * TEMP THRU 12/30/2014 * * *","NEWRY","ME","207-824-5085","MOUNTAIN GROCER","15 SOUTH RIDGE RD.   * * * TEMP THRU 12/30/2014 *
* *","NEWRY","OXFORD","185","M-V","11/02/2014","OFF",44.4884245,-70.7885765,"locality","small","#4f4","alcohol-shop"
"1850",NA,"BIG APPLE FOOD STORE #1114","1850","Yes","1110 CAPE ROAD","HOLLIS","ME","743-9212","BIG APPLE FOOD STORE #1114","1110 CAPE ROAD","HOLLIS","YORK","1850","V-M","04/30/2015","OFF",43.6509985,-70.6633942,"street_address","small","#4f4","alcohol-shop"
"1857",NA,"7-ELEVEN #32540 A","1857","Yes","66 ALFRED STREET","BIDDEFORD","ME","207-282-4498","7-ELEVEN #32540 A","66 ALFRED STREET","BIDDEFORD","YORK","1857","M-V","06/13/2015","OFF",43.4913808,-70.4551219,"street_address","small","#4f4","alcohol-shop"
"1866",NA,"CUMBERLAND FARMS #5613","1866","Yes","512 WOODSFORD STREET","PORTLAND","ME","207-773-7792","CUMBERLAND FARMS #5613","512 WOODSFORD STREET","PORTLAND","CUMBERLAND","1866","V-M","11/09/2015","OFF",43.668931,-70.301337,"street_address","small","#4f4","alcohol-shop"
"187",NA,"NORTH YARMOUTH VARIETY","187","Yes","2 WALNUT HILL COMMONS, RTE 115","NORTH YARMOUTH","ME","207-829-6900","NORTH YARMOUTH VARIETY","2 WALNUT HILL COMMONS, RTE 115","NORTH YARMOUTH","CUMBERLAND","187","V-M","06/07/2015","OFF",43.85735,-70.2388706,"locality","small","#4f4","alcohol-shop"
"1881",NA,"CAMPBELL'S MARKET","1881","Yes","934 BROADWAY","SOUTH PORTLAND","ME","799-7080","CAMPBELL'S MARKET","934 BROADWAY","SOUTH PORTLAND","CUMBERLAND","1881","V-M","05/31/2015","OFF",43.6304624,-70.2697514,"street_address","small","#4f4","alcohol-shop"
"1887",NA,"LI'L LIZA JANE'S","1887","Yes","524 BLACK POINT ROAD","SCARBOROUGH","ME","207-510-1944","LI'L LIZA JANE'S","524 BLACK POINT ROAD","SCARBOROUGH","CUMBERLAND","1887","M-V","05/22/2015","OFF",43.532742,-70.318725,"street_address","small","#4f4","alcohol-shop"
"1894",NA,"STOREKEEPERS, THE","1894","Yes","911 STATION ROAD","HEBRON","ME","966-2733","STOREKEEPERS, THE","911 STATION ROAD","HEBRON","OXFORD","1894","V-M","01/27/2015","OFF",44.2275372,-70.3475251,"street_address","small","#4f4","alcohol-shop"
"1899",NA,"CIRCLE K #7046","1899","Yes","401 US ROUTE 1","SCARBOROUGH","ME","207-284-6942","CIRCLE K #7046","401 US ROUTE 1","SCARBOROUGH","CUMBERLAND","1899","M-V","07/15/2015","OFF",43.5842637,-70.3615853,"street_address","small","#4f4","alcohol-shop"
"1905",NA,"CVS PHARMACY #804","1905","Yes","1406 CONGRESS ST. - WEST GATE S/C","PORTLAND","ME","207-773-5511","CVS PHARMACY #804","1406 CONGRESS ST. - WEST GATE S/C","PORTLAND","CUMBERLAND","1905","V-M","06/27/2015","OFF",43.6508124,-70.2724087,"route","small","#4f4","alcohol-shop"
"1907",NA,"ELIOT MEAT MARKET","1907","Yes","177 MOSES GERRISH FARMS RD.","ELIOT","ME","207-439-2983","ELIOT MEAT MARKET","177 MOSES GERRISH FARMS RD.","ELIOT","YORK","1907","M-V","05/08/2015","OFF",43.1225421,-70.7876878,"street_address","small","#4f4","alcohol-shop"
"1918",NA,"BIG APPLE FOOD STORE #1059","1918","Yes","90 MAIN STREET","GORHAM","ME","207-743-9212","BIG APPLE FOOD STORE #1059","90 MAIN STREET","GORHAM","CUMBERLAND","1918","V-M","04/20/2015","OFF",43.680947,-70.439915,"street_address","small","#4f4","alcohol-shop"
"1927",NA,"FRIENDLY DISCOUNT","1927","Yes","922 MAIN STREET","WESTBROOK","ME","207-856-2779","FRIENDLY DISCOUNT","922 MAIN STREET","WESTBROOK","CUMBERLAND","1927","M-V","03/30/2015","OFF",43.6770046,-70.3690279,"street_address","small","#4f4","alcohol-shop"
"1929",NA,"BIG APPLE FOOD STORE #1000","1929","Yes","93 MAIN STREET","BRIDGTON","ME","207-743-9212","BIG APPLE FOOD STORE #1000","93 MAIN STREET","BRIDGTON","CUMBERLAND","1929","M-V","06/26/2015","OFF",44.0544515,-70.70742,"street_address","small","#4f4","alcohol-shop"
"193",NA,"MR MIKE'S BRUNSWICK PLEASANT STREET","193","Yes","211 PLEASANT STREET","BRUNSWICK","ME","725-2579","MR MIKE'S BRUNSWICK PLEASANT STREET","211 PLEASANT STREET","BRUNSWICK","CUMBERLAND","193","M-V","02/28/2015","OFF",43.91169,-69.997897,"street_address","small","#4f4","alcohol-shop"
"1935",NA,"CITY BEVERAGE","1935","Yes","1 EXCHANGE STREET","PORTLAND","ME","233-1607","CITY BEVERAGE","1 EXCHANGE STREET","PORTLAND","CUMBERLAND","1935","V-M","07/13/2015","OFF",43.65658,-70.253275,"street_address","small","#4f4","alcohol-shop"
"1937",NA,"CUMBERLAND FARMS #5573","1937","Yes","427 COTTAGE STREET","SOUTH PORTLAND","ME","207-767-9083","CUMBERLAND FARMS #5573","427 COTTAGE STREET","SOUTH PORTLAND","CUMBERLAND","1937","M-V","09/30/2015","OFF",43.6353498,-70.2338127,"street_address","small","#4f4","alcohol-shop"
"194",NA,"BIG APPLE STORE 1072,  THE","194","Yes","59 MAYVILLE ROAD","BETHEL","ME","743-9212","BIG APPLE STORE 1072,  THE","59 MAYVILLE ROAD","BETHEL","OXFORD","194","M-V","09/27/2015","OFF",44.4145178,-70.7960297,"street_address","small","#4f4","alcohol-shop"
"1949",NA,"PLUMMER'S SUPERMARKET","1949","Yes","235 PARKER FARM ROAD","BUXTON","ME","727-3126","PLUMMER'S SUPERMARKET","235 PARKER FARM ROAD","BUXTON","YORK","1949","V-M","12/31/2014","OFF",43.6792178,-70.5868833,"street_address","small","#4f4","alcohol-shop"
"195",NA,"MAINE SMOKE SHOP #114","195","Yes","139 MAIN STREET, UNIT #2","MEXICO","ME","364-7492","MAINE SMOKE SHOP #114","139 MAIN STREET, UNIT #2","MEXICO","OXFORD","195","M-V","03/08/2015","OFF",44.5560346,-70.5407629,"subpremise","small","#4f4","alcohol-shop"
"1953",NA,"AL'S VARIETY","1953","Yes","139 PLEASANT HILL ROAD","SCARBOROUGH","ME","883-3322","AL'S VARIETY","139 PLEASANT HILL ROAD","SCARBOROUGH","CUMBERLAND","1953","M-V","07/12/2015","OFF",43.5982569,-70.298035,"street_address","small","#4f4","alcohol-shop"
"1955",NA,"RITE AID #3298","1955","Yes","713 CONGRESS STREET","PORTLAND","ME","717-214-8543","RITE AID #3298","713 CONGRESS STREET","PORTLAND","CUMBERLAND","1955","M-V","05/26/2015","OFF",43.6532731,-70.2690736,"street_address","small","#4f4","alcohol-shop"
"1960",NA,"LANDING STORE, THE","1960","Yes","157 SUMMER STREET","KENNEBUNK","ME","207-985-2448","LANDING STORE, THE","157 SUMMER STREET","KENNEBUNK","YORK","1960","V-M","05/15/2015","OFF",43.3782547,-70.5096052,"street_address","small","#4f4","alcohol-shop"
"1962",NA,"MAQUOIT MARKET","1962","Yes","50 MAQUOIT ROAD","BRUNSWICK","ME","373-3900","MAQUOIT MARKET","50 MAQUOIT ROAD","BRUNSWICK","CUMBERLAND","1962","M-V","02/25/2015","OFF",43.889166,-69.976749,"street_address","small","#4f4","alcohol-shop"
"1968",NA,"CUMBERLAND FARMS #5577","1968","Yes","1547 POST ROAD","WELLS","ME","207-641-8645","CUMBERLAND FARMS #5577","1547 POST ROAD","WELLS","YORK","1968","V-M","09/30/2015","OFF",43.3219663,-70.5809055,"street_address","small","#4f4","alcohol-shop"
"1969",NA,"T.J.'S SANDWICH SHOP, INC.","1969","Yes","#2 CHADBORNE RD","STANDISH","ME","642-2700","T.J.'S SANDWICH SHOP, INC.","#2 CHADBORNE RD","STANDISH","CUMBERLAND","1969","V-M","02/25/2015","OFF",43.7612431,-70.5203523,"street_address","small","#4f4","alcohol-shop"
"1976",NA,"RITE AID #3277","1976","Yes","290 CONGRESS STREET EAST","PORTLAND","ME","717-214-8543","RITE AID #3277","290 CONGRESS STREET EAST","PORTLAND","CUMBERLAND","1976","V-M","05/26/2015","OFF",43.6610755,-70.2522468,"street_address","small","#4f4","alcohol-shop"
"1981",NA,"RITE AID #3286","1981","Yes","335 ALFRED STREET","BIDDEFORD","ME","717-214-8543","RITE AID #3286","335 ALFRED STREET","BIDDEFORD","YORK","1981","M-V","05/27/2015","OFF",43.4831611,-70.4696956,"street_address","small","#4f4","alcohol-shop"
"1987",NA,"PINE TREE COUNTRY STORE","1987","Yes","435 US ROUTE ONE, UNIT 6","KITTERY","ME","207-439-2212","PINE TREE COUNTRY STORE","435 US ROUTE ONE, UNIT 6","KITTERY","YORK","1987","V-M","06/07/2015","OFF",43.1214877,-70.7203221,"subpremise","small","#4f4","alcohol-shop"
"1988",NA,"AMATO'S  BIDDEFORD","1988","Yes","458 ALFRED STREET","BIDDEFORD","ME","286-2934","AMATO'S  BIDDEFORD","458 ALFRED STREET","BIDDEFORD","YORK","1988","V-M","07/19/2015","OFF",43.4802176,-70.4859482,"street_address","small","#4f4","alcohol-shop"
"199",NA,"BEACHWAY GENERAL STORE","199","Yes","153 BEACH STREET","SACO","ME","207-282-0202","BEACHWAY GENERAL STORE","153 BEACH STREET","SACO","YORK","199","V-M","12/28/2014","OFF",43.498645,-70.435077,"street_address","small","#4f4","alcohol-shop"
"1995",NA,"BOSTON CONNECTION","1995","Yes","170 ELM STREET","BIDDEFORD","ME","207-283-3354","BOSTON CONNECTION","170 ELM STREET","BIDDEFORD","YORK","1995","V-M","05/11/2015","OFF",43.4940446,-70.4600882,"street_address","small","#4f4","alcohol-shop"
"1997",NA,"WELLS XTRA MART","1997","Yes","718 POST ROAD","WELLS","ME","646-9588","WELLS XTRA MART","718 POST ROAD","WELLS","YORK","1997","V-M","02/01/2015","OFF",43.2961057,-70.5880431,"street_address","small","#4f4","alcohol-shop"
"2004",NA,"MAINE SMOKE SHOP #105","2004","Yes","618 US ROUTE #1, SUITE #1","SCARBOROUGH","ME","883-4413","MAINE SMOKE SHOP #105","618 US ROUTE #1, SUITE #1","SCARBOROUGH","CUMBERLAND","2004","M-V","12/30/2014","OFF",43.5698792,-70.3878397,"subpremise","small","#4f4","alcohol-shop"
"2006",NA,"WELLS CLIPPER MART","2006","Yes","329 POST ROAD","WELLS","ME","207-641-2337","WELLS CLIPPER MART","329 POST ROAD","WELLS","YORK","2006","M-V","11/03/2015","OFF",43.2832945,-70.5944468,"street_address","small","#4f4","alcohol-shop"
"2010",NA,"THAYER'S STORE","2010","Yes","463 RIVER ROAD","WINDHAM","ME","892-5146","THAYER'S STORE","463 RIVER ROAD","WINDHAM","CUMBERLAND","2010","M-V","06/23/2015","OFF",43.7518777,-70.4318676,"street_address","small","#4f4","alcohol-shop"
"2011",NA,"STATION HOUSE CONVENIENCE STORE","2011","Yes","415 HOLLIS ROAD","HOLLIS CENTER","ME","207-651-6291","STATION HOUSE CONVENIENCE STORE","415 HOLLIS ROAD","HOLLIS CENTER","YORK","2011","V-M","08/07/2015","OFF",43.6019855,-70.590173,"church","small","#4f4","alcohol-shop"
"2013",NA,"RITE AID #3309","2013","Yes","37 PORTLAND ROAD","KENNEBUNK","ME","717-214-8543","RITE AID #3309","37 PORTLAND ROAD","KENNEBUNK","YORK","2013","M-V","05/28/2015","OFF",43.3932957,-70.5320456,"street_address","small","#4f4","alcohol-shop"
"2014",NA,"GOOD THINGS VARIETY","2014","Yes","113 SACO STREET","WESTBROOK","ME","207-854-0400","GOOD THINGS VARIETY","113 SACO STREET","WESTBROOK","CUMBERLAND","2014","M-V","01/21/2015","OFF",43.6732003,-70.3724914,"street_address","small","#4f4","alcohol-shop"
"2019",NA,"OAK HILL CITGO GAS & CONVENIENCE","2019","Yes","230 US ROUTE ONE   * * * TEMP THRU 1/30/2015 * * *","SCARBOROUGH","ME","883-4222","OAK HILL CITGO GAS & CONVENIENCE","230 US ROUTE ONE	 * * * TEMP THRU 1/30/2015 * *
*","SCARBOROUGH","CUMBERLAND","2019","M-V","10/12/2014","OFF",43.5901974,-70.3344921,"locality","small","#4f4","alcohol-shop"
"2022",NA,"DOE'S, INC.","2022","Yes","183 PARK STREET","SOUTH PARIS","ME","207-739-2575","DOE'S, INC.","183 PARK STREET","SOUTH PARIS","OXFORD","2022","V-M","06/20/2015","OFF",44.236903,-70.513259,"street_address","small","#4f4","alcohol-shop"
"2024",NA,"HANNAFORD SUPERMARKET & PHARMACY #8403","2024","Yes","65 PORTLAND ROAD","KENNEBUNK","ME","207-985-9135","HANNAFORD SUPERMARKET & PHARMACY #8403","65 PORTLAND ROAD","KENNEBUNK","YORK","2024","V-M","04/27/2015","OFF",43.397822,-70.5289989,"street_address","small","#4f4","alcohol-shop"
"203",NA,"CUMBERLAND FARMS #5619","203","Yes","939 U.S. ROUTE 1","YARMOUTH","ME","207-846-3627","CUMBERLAND FARMS #5619","939 U.S. ROUTE 1","YARMOUTH","CUMBERLAND","203","V-M","12/14/2015","OFF",43.8059026,-70.1705475,"street_address","small","#4f4","alcohol-shop"
"2037",NA,"PAUL'S VARIETY","2037","Yes","80 ALFRED STREET","BIDDEFORD","ME","207-282-6821","PAUL'S VARIETY","80 ALFRED STREET","BIDDEFORD","YORK","2037","M-V","08/05/2015","OFF",43.4910358,-70.4556969,"street_address","small","#4f4","alcohol-shop"
"2038",NA,"MADDEN BEVERAGE","2038","Yes","335 NORTH STREET","SACO","ME","282-8720","MADDEN BEVERAGE","335 NORTH STREET","SACO","YORK","2038","M-V","12/16/2014","OFF",43.518941,-70.455506,"street_address","small","#4f4","alcohol-shop"
"204",NA,"JOE'S SMOKE SHOP","204","Yes","665 CONGRESS STREET","PORTLAND","ME","773-3656","JOE'S SMOKE SHOP","665 CONGRESS STREET","PORTLAND","CUMBERLAND","204","M-V","02/01/2015","OFF",43.65339,-70.2661942,"premise","small","#4f4","alcohol-shop"
"2040",NA,"LANDRY'S SHOP'N SAVE","2040","Yes","2 CASCADE ROAD","OLD ORCHARD BEACH","ME","207-934-4311","LANDRY'S SHOP'N SAVE","2 CASCADE ROAD","OLD ORCHARD BEACH","YORK","2040","M-V","07/20/2015","OFF",43.5227002,-70.3790356,"street_address","small","#4f4","alcohol-shop"
"2044",NA,"CUMBERLAND FARMS #5623","2044","Yes","5 BLUE LEDGE ROAD","GORHAM","ME","207-839-2679","CUMBERLAND FARMS #5623","5 BLUE LEDGE ROAD","GORHAM","CUMBERLAND","2044","M-V","08/19/2015","OFF",43.639874,-70.4203591,"route","small","#4f4","alcohol-shop"
"2045",NA,"MALLARD MART","2045","Yes","33 MAYVILLE ROAD","BETHEL","ME","824-6111","MALLARD MART","33 MAYVILLE ROAD","BETHEL","OXFORD","2045","M-V","12/18/2014","OFF",44.412849,-70.7957321,"street_address","small","#4f4","alcohol-shop"
"2048",NA,"DAY'S COUNTRY STORE, INC.","2048","Yes","4 BIG HILL ROAD","OTISFIELD","ME","207-743-3297","DAY'S COUNTRY STORE, INC.","4 BIG HILL ROAD","OTISFIELD","OXFORD","2048","M-V","05/28/2015","OFF",44.1152957,-70.5945088,"street_address","small","#4f4","alcohol-shop"
"2049",NA,"J BROTHERS VARIETY STORE","2049","Yes","42 GRAY ROAD","CUMBERLAND","ME","829-5591","J BROTHERS VARIETY STORE","42 GRAY ROAD","CUMBERLAND","CUMBERLAND","2049","V-M","11/02/2015","OFF",43.7968518,-70.306413,"street_address","small","#4f4","alcohol-shop"
"205",NA,"LARA EXCLUSIVELY ITALIAN, LLC","205","Yes","438 RTE 1 - UNIT G","YARMOUTH","ME","207-219-0736","LARA EXCLUSIVELY ITALIAN, LLC","438 RTE 1 - UNIT G","YARMOUTH","CUMBERLAND","205","M-V","09/22/2015","OFF",43.797046,-70.18919,"street_address","small","#4f4","alcohol-shop"
"2052",NA,"DEROSIER'S MARKET","2052","Yes","120 MAIN STREET","FREEPORT","ME","865-6290","DEROSIER'S MARKET","120 MAIN STREET","FREEPORT","CUMBERLAND","2052","V-M","01/30/2015","OFF",43.8581131,-70.1021536,"street_address","small","#4f4","alcohol-shop"
"2053",NA,"STORE ON ORR'S, THE","2053","Yes","1426 HARPSWELL ISLAND ROAD","ORR'S ISLAND","ME","833-2301","STORE ON ORR'S, THE","1426 HARPSWELL ISLAND ROAD","ORR'S ISLAND","CUMBERLAND","2053","V-M","01/01/2015","OFF",43.7590538,-69.977219,"route","small","#4f4","alcohol-shop"
"2056",NA,"MALLARD MART","2056","Yes","59 PARIS STREET","NORWAY","ME","207-739-6050","MALLARD MART","59 PARIS STREET","NORWAY","OXFORD","2056","V-M","04/18/2015","OFF",44.212388,-70.5290459,"street_address","small","#4f4","alcohol-shop"
"206",NA,"BLACK SHEEP, THE","206","Yes","18 WHARF ROAD","HARPSWELL","ME","207-725-9284","BLACK SHEEP, THE","18 WHARF ROAD","HARPSWELL","CUMBERLAND","206","M-V","09/20/2015","OFF",43.8187861,-69.9551681,"street_address","small","#4f4","alcohol-shop"
"2063",NA,"SHAW'S # 7628/497","2063","Yes","147 BATH ROAD","BRUNSWICK","ME","207-721-9996","SHAW'S # 7628/497","147 BATH ROAD","BRUNSWICK","CUMBERLAND","2063","M-V","04/07/2015","OFF",43.907887,-69.9259299,"street_address","small","#4f4","alcohol-shop"
"2070",NA,"MALLARD MART","2070","Yes","175 BETHEL ROAD","WEST PARIS","ME","674-2087","MALLARD MART","175 BETHEL ROAD","WEST PARIS","OXFORD","2070","M-V","06/29/2015","OFF",44.3254947,-70.5489355,"street_address","small","#4f4","alcohol-shop"
"2073",NA,"SHAW'S #7651/492","2073","Yes","251 US HIGHWAY 1","FALMOUTH","ME","207-781-6581","SHAW'S #7651/492","251 US HIGHWAY 1","FALMOUTH","CUMBERLAND","2073","M-V","04/07/2015","OFF",43.7244179,-70.2298713,"street_address","small","#4f4","alcohol-shop"
"2074",NA,"CASCO VARIETY","2074","Yes","96 COMMERCIAL ST","PORTLAND","ME","773-4299","CASCO VARIETY","96 COMMERCIAL ST","PORTLAND","CUMBERLAND","2074","M-V","07/05/2015","OFF",43.6568605,-70.2508663,"street_address","small","#4f4","alcohol-shop"
"2075",NA,"CIRCLE K #7054","2075","Yes","59 PORTLAND ROAD","KENNEBUNK","ME","207-985-2978","CIRCLE K #7054","59 PORTLAND ROAD","KENNEBUNK","YORK","2075","V-M","07/15/2015","OFF",43.3954551,-70.530893,"street_address","small","#4f4","alcohol-shop"
"2076",NA,"HITIDE GIFTS AND GOURMET, LLC","2076","Yes","15B SHORE ROAD","OGUNQUIT","ME","207-646-4100","HITIDE GIFTS AND GOURMET, LLC","15B SHORE ROAD","OGUNQUIT","YORK","2076","V-M","04/09/2015","OFF",43.2486869,-70.5990489,"street_address","small","#4f4","alcohol-shop"
"208",NA,"SCRUBADUB AUTO WASH CENTERS, INC.","208","Yes","1185 FOREST AVE","PORTLAND","ME","508-650-1155","SCRUBADUB AUTO WASH CENTERS, INC.","1185 FOREST AVE","PORTLAND","CUMBERLAND","208","V-M","07/28/2015","OFF",43.6877036,-70.2929291,"street_address","small","#4f4","alcohol-shop"
